cityCode,name,areaCode,adcode
1,全国,0,0
2,北京,131,110000
3,天津,332,120000
4,河北,25,130000
5,石家庄,150,130100
6,唐山,265,130200
7,秦皇岛,148,130300
8,邯郸,151,130400
9,邢台,266,130500
10,保定,307,130600
11,张家口,264,130700
12,承德,207,130800
13,沧州,149,130900
14,廊坊,191,131000
15,衡水,208,131100
16,山西,10,140000
17,太原,176,140100
18,大同,355,140200
19,阳泉,357,140300
20,长治,356,140400
21,晋城,290,140500
22,朔州,237,140600
23,晋中,238,140700
24,运城,328,140800
25,忻州,367,140900
26,临汾,368,141000
27,吕梁,327,141100
28,内蒙古自治区,22,150000
29,呼和浩特,321,150100
30,包头,229,150200
31,乌海,123,150300
32,赤峰,297,150400
33,通辽,64,150500
34,鄂尔多斯,283,150600
35,呼伦贝尔,61,150700
36,巴彦淖尔,169,150800
37,乌兰察布,168,150900
38,兴安盟,62,152200
39,锡林郭勒盟,63,152500
40,阿拉善盟,230,152900
41,辽宁,19,210000
42,沈阳,58,210100
43,大连,167,210200
44,鞍山,320,210300
45,抚顺,184,210400
46,本溪,227,210500
47,丹东,282,210600
48,锦州,166,210700
49,营口,281,210800
50,阜新,59,210900
51,辽阳,351,211000
52,盘锦,228,211100
53,铁岭,60,211200
54,朝阳,280,211300
55,葫芦岛,319,211400
56,吉林,9,220000
57,长春,53,220100
58,吉林市,55,220200
59,四平,56,220300
60,辽源,183,220400
61,通化,165,220500
62,白山,57,220600
63,松原,52,220700
64,白城,51,220800
65,延边朝鲜族自治州,54,222400
66,黑龙江,2,230000
67,哈尔滨,48,230100
68,齐齐哈尔,41,230200
69,鸡西,46,230300
70,鹤岗,43,230400
71,双鸭山,45,230500
72,大庆,50,230600
73,伊春,40,230700
74,佳木斯,42,230800
75,七台河,47,230900
76,牡丹江,49,231000
77,黑河,39,231100
78,绥化,44,231200
79,大兴安岭地区,38,232700
80,上海,289,310000
81,江苏,18,320000
82,南京,315,320100
83,无锡,317,320200
84,徐州,316,320300
85,常州,348,320400
86,苏州,224,320500
87,南通,161,320600
88,连云港,347,320700
89,淮安,162,320800
90,盐城,223,320900
91,扬州,346,321000
92,镇江,160,321100
93,泰州,276,321200
94,宿迁,277,321300
95,浙江,29,330000
96,杭州,179,330100
97,宁波,180,330200
98,温州,178,330300
99,嘉兴,334,330400
100,湖州,294,330500
101,绍兴,293,330600
102,金华,333,330700
103,衢州,243,330800
104,舟山,245,330900
105,台州,244,331000
106,丽水,292,331100
107,安徽,23,340000
108,合肥,127,340100
109,巢湖,251,340181
110,芜湖,129,340200
111,蚌埠,126,340300
112,淮南,250,340400
113,马鞍山,358,340500
114,淮北,253,340600
115,铜陵,337,340700
116,安庆,130,340800
117,黄山,252,341000
118,滁州,189,341100
119,阜阳,128,341200
120,宿州,370,341300
121,六安,298,341500
122,亳州,188,341600
123,池州,299,341700
124,宣城,190,341800
125,福建,16,350000
126,福州,300,350100
127,厦门,194,350200
128,莆田,195,350300
129,三明,254,350400
130,泉州,134,350500
131,漳州,255,350600
132,南平,133,350700
133,龙岩,193,350800
134,宁德,192,350900
135,江西,31,360000
136,南昌,163,360100
137,景德镇,225,360200
138,萍乡,350,360300
139,九江,349,360400
140,新余,164,360500
141,鹰潭,279,360600
142,赣州,365,360700
143,吉安,318,360800
144,宜春,278,360900
145,抚州,226,361000
146,上饶,364,361100
147,山东,8,370000
148,莱芜,124,370100
149,青岛,236,370200
150,淄博,354,370300
151,枣庄,172,370400
152,东营,174,370500
153,烟台,326,370600
154,潍坊,287,370700
155,济宁,286,370800
156,泰安,325,370900
157,威海,175,371000
158,日照,173,371100
159,临沂,234,371300
160,德州,372,371400
161,聊城,366,371500
162,滨州,235,371600
163,菏泽,353,371700
164,河南,30,410000
165,郑州,268,410100
166,开封,210,410200
167,洛阳,153,410300
168,平顶山,213,410400
169,安阳,267,410500
170,鹤壁,215,410600
171,新乡,152,410700
172,焦作,211,410800
173,濮阳,209,410900
174,许昌,155,411000
175,漯河,344,411100
176,三门峡,212,411200
177,南阳,309,411300
178,商丘,154,411400
179,信阳,214,411500
180,周口,308,411600
181,驻马店,269,411700
182,济南,288,419000
183,湖北,15,420000
184,武汉,218,420100
185,黄石,311,420200
186,十堰,216,420300
187,宜昌,270,420500
188,襄阳,156,420600
189,鄂州,122,420700
190,荆门,217,420800
191,孝感,310,420900
192,荆州,157,421000
193,黄冈,271,421100
194,咸宁,362,421200
195,随州,371,421300
196,恩施土家族苗族自治州,373,422800
197,仙桃,1713,429004
198,潜江,1293,429005
199,天门,2654,429006
200,神农架林区,2734,429021
201,湖南,26,430000
202,长沙,158,430100
203,株洲,222,430200
204,湘潭,313,430300
205,衡阳,159,430400
206,邵阳,273,430500
207,岳阳,220,430600
208,常德,219,430700
209,张家界,312,430800
210,益阳,272,430900
211,郴州,275,431000
212,永州,314,431100
213,怀化,363,431200
214,娄底,221,431300
215,湘西土家族苗族自治州,274,433100
216,广东,7,440000
217,广州,257,440100
218,韶关,137,440200
219,深圳,340,440300
220,珠海,140,440400
221,汕头,303,440500
222,佛山,138,440600
223,江门,302,440700
224,湛江,198,440800
225,茂名,139,440900
226,肇庆,338,441200
227,惠州,301,441300
228,梅州,141,441400
229,汕尾,339,441500
230,河源,200,441600
231,阳江,199,441700
232,清远,197,441800
233,东莞,119,441900
234,中山,187,442000
235,潮州,201,445100
236,揭阳,259,445200
237,云浮,258,445300
238,广西壮族自治区,17,450000
239,南宁,261,450100
240,柳州,305,450200
241,桂林,142,450300
242,梧州,304,450400
243,北海,295,450500
244,防城港,204,450600
245,钦州,145,450700
246,贵港,341,450800
247,玉林,361,450900
248,百色,203,451000
249,贺州,260,451100
250,河池,143,451200
251,来宾,202,451300
252,崇左,144,451400
253,海南,21,460000
254,海口,125,460100
255,三亚,121,460200
256,儋州,1215,460400
257,五指山,1644,469001
258,琼海,2358,469002
259,文昌,2758,469005
260,万宁,1216,469006
261,东方,2634,469007
262,定安,1214,469021
263,屯昌,1641,469022
264,澄迈,2757,469023
265,临高,2033,469024
266,白沙黎族自治县,2359,469025
267,昌江黎族自治县,1642,469026
268,乐东黎族自治县,2032,469027
269,陵水黎族自治县,1643,469028
270,保亭黎族苗族自治县,1217,469029
271,琼中黎族苗族自治县,2031,469030
272,重庆,132,500000
273,四川,32,510000
274,成都,75,510100
275,自贡,78,510300
276,攀枝花,81,510400
277,泸州,331,510500
278,德阳,74,510600
279,绵阳,240,510700
280,广元,329,510800
281,遂宁,330,510900
282,内江,248,511000
283,乐山,79,511100
284,南充,291,511300
285,眉山,77,511400
286,宜宾,186,511500
287,广安,241,511600
288,达州,369,511700
289,雅安,76,511800
290,巴中,239,511900
291,资阳,242,512000
292,阿坝藏族羌族自治州,185,513200
293,甘孜藏族自治州,73,513300
294,凉山彝族自治州,80,513400
295,贵州,24,520000
296,贵阳,146,520100
297,六盘水,147,520200
298,遵义,262,520300
299,安顺,263,520400
300,毕节地区,206,520500
301,铜仁地区,205,520600
302,黔西南布依族苗族自治州,343,522300
303,黔东南苗族侗族自治州,342,522600
304,黔南布依族苗族自治州,306,522700
305,云南,28,530000
306,昆明,104,530100
307,曲靖,249,530300
308,玉溪,106,530400
309,保山,112,530500
310,昭通,336,530600
311,丽江,114,530700
312,普洱,108,530800
313,临沧,110,530900
314,楚雄彝族自治州,105,532300
315,红河哈尼族彝族自治州,107,532500
316,文山壮族苗族自治州,177,532600
317,西双版纳傣族自治州,109,532800
318,大理白族自治州,111,532900
319,德宏傣族景颇族自治州,116,533100
320,怒江傈僳族自治州,113,533300
321,迪庆藏族自治州,115,533400
322,西藏自治区,13,540000
323,拉萨,100,540100
324,日喀则地区,102,540200
325,昌都地区,99,540300
326,林芝地区,98,540400
327,山南地区,97,540500
328,那曲地区,101,540600
329,阿里地区,103,542500
330,陕西,27,610000
331,西安,233,610100
332,铜川,232,610200
333,宝鸡,171,610300
334,咸阳,323,610400
335,渭南,170,610500
336,延安,284,610600
337,汉中,352,610700
338,榆林,231,610800
339,安康,324,610900
340,商洛,285,611000
341,甘肃,6,620000
342,兰州,36,620100
343,嘉峪关,33,620200
344,金昌,34,620300
345,白银,35,620400
346,天水,196,620500
347,武威,118,620600
348,张掖,117,620700
349,平凉,359,620800
350,酒泉,37,620900
351,庆阳,135,621000
352,定西,136,621100
353,陇南,256,621200
354,临夏回族自治州,182,622900
355,甘南藏族自治州,247,623000
356,青海,11,630000
357,西宁,66,630100
358,海东地区,69,630200
359,海北藏族自治州,67,632200
360,黄南藏族自治州,70,632300
361,海南藏族自治州,68,632500
362,果洛藏族自治州,72,632600
363,玉树藏族自治州,71,632700
364,海西蒙古族藏族自治州,65,632800
365,宁夏回族自治区,20,640000
366,银川,360,640100
367,石嘴山,335,640200
368,吴忠,322,640300
369,固原,246,640400
370,中卫,181,640500
371,新疆维吾尔自治区,12,650000
372,乌鲁木齐,92,650100
373,克拉玛依,95,650200
374,吐鲁番地区,89,650400
375,哈密地区,91,650500
376,昌吉回族自治州,93,652300
377,博尔塔拉蒙古自治州,88,652700
378,巴音郭楞蒙古自治州,86,652800
379,阿克苏地区,85,652900
380,克孜勒苏柯尔克孜自治州,84,653000
381,喀什地区,83,653100
382,和田地区,82,653200
383,伊犁哈萨克自治州,90,654000
384,塔城地区,94,654200
385,阿勒泰地区,96,654300
386,石河子,770,659001
387,阿拉尔,731,659002
388,图木舒克,792,659003
389,五家渠,789,659004
390,香港,2912,810000
391,澳门,2911,820000
